word,tf,df,tfidf
sleepi,710,435,47.70853101
chez,971,559,47.70795993
sangu,393,255,47.70717299
alt,1123,624,47.70715272
knockin,993,569,47.70370124
hi,1701,837,47.70289008
vamo,2264,1008,47.70237117
miro,682,421,47.70098106
sull,472,304,47.70001725
vuelto,410,266,47.69995325
llama,787,474,47.69959893
niÌ±o,999,572,47.69854924
keeper,574,363,47.69844484
wissen,592,373,47.69797653
glÌ_ck,674,417,47.69792251
tambÌ©m,421,273,47.6966657
fil,693,427,47.695695
holla,1192,653,47.69508846
qua,647,403,47.69360554
playa,2059,950,47.69306898
escapar,505,324,47.68953142
minha,1700,838,47.68952712
dejo,733,448,47.68592359
terra,1038,590,47.68372546
hurtin,642,401,47.68125804
sexi,3010,1202,47.6802324
doy,898,528,47.67931738
einmal,874,517,47.67725412
oscuridad,497,320,47.67381491
heartbeat,1583,800,47.67379389
stÌ´r,442,287,47.67112568
nas,1059,600,47.67025432
birthday,1278,689,47.66941923
ut,818,491,47.66852225
fim,591,374,47.66733852
anda,811,488,47.66252956
mentira,1403,737,47.66081167
tienen,693,429,47.6605131
sehn,666,415,47.65825439
misunderstood,623,392,47.65822062
tudo,1950,921,47.65748013
rua,370,242,47.65736831
quieren,647,405,47.65666879
hijo,708,437,47.65613708
holiday,1806,876,47.65556786
laiss,994,573,47.65454349
halo,812,489,47.65441674
aber,1939,918,47.65391484
aun,818,492,47.65287184
crow,1070,606,47.65286802
assim,1141,636,47.64885149
saviour,807,487,47.64771133
llanto,500,323,47.64627497
mire,536,344,47.64612519
quello,1177,651,47.64513002
pienso,1123,629,47.64327727
junk,672,419,47.64320953
meus,520,335,47.64040451
sehen,1096,618,47.63969781
california,1934,918,47.63956577
rÌ»ve,675,421,47.63569102
entiendo,414,271,47.63504028
incred,694,431,47.63458701
bounc,2663,1123,47.63353889
ner,595,378,47.63231677
posso,811,490,47.63110338
adventur,650,408,47.63102317
esser,589,375,47.62581544
fucker,969,564,47.62550841
jamÌÁ,724,447,47.62541848
buen,571,365,47.62419944
alegria,587,374,47.6235694
aller,843,506,47.62209875
freeway,569,364,47.62162333
volta,853,511,47.61854539
william,855,512,47.61779482
vuelta,799,485,47.61765444
miei,834,502,47.6173204
ello,619,392,47.6170051
parar,930,547,47.61667621
jackson,719,445,47.61589653
queria,461,301,47.61391351
boo,1240,679,47.61151856
soi,788,480,47.61119092
alegrÌ_a,441,289,47.60675268
segundo,536,346,47.60394863
pussi,2384,1053,47.6029281
sopra,495,322,47.60236835
fazer,594,379,47.60200381
lamour,2109,975,47.60169982
whine,658,414,47.59964731
tenga,717,445,47.59842113
meinem,996,578,47.59814041
mesmo,650,410,47.59451619
mexico,877,524,47.59387317
almighti,678,425,47.5927637
empezar,577,370,47.59184276
matar,568,365,47.59012271
entrar,516,335,47.58980016
dreamer,1253,686,47.58940553
aprend,494,322,47.58903756
dew,706,440,47.58670525
ohn,1787,877,47.58665151
doi,683,428,47.58633613
warrior,1513,784,47.58386293
personn,1030,594,47.583837
menschen,578,371,47.58318343
femm,1308,708,47.58317833
stereo,1007,584,47.58266473
texa,1504,781,47.58155372
ess,707,441,47.57846481
sest,742,459,47.57814468
lluvia,699,437,47.57564687
bleibt,999,581,47.57539395
nom,697,436,47.57488056
fino,633,402,47.57270858
wilder,593,380,47.57173295
sonho,496,324,47.57109751
piedra,445,293,47.56975305
peux,946,558,47.56422008
veux,2152,992,47.56333524
deiner,752,465,47.56289879
beggin,744,461,47.56191198
oder,2040,959,47.56089844
tief,701,439,47.5591932
sue,919,546,47.55873825
gen,1344,724,47.55826463
jede,987,577,47.55717641
hail,1669,841,47.55560257
strada,551,357,47.55539541
giorno,1294,705,47.55517995
einfach,1268,695,47.55310469
dura,483,317,47.55284229
nÌ£o,8819,2149,47.54819637
perdu,843,511,47.54617256
butterfli,1464,770,47.5446377
liberti,960,566,47.54136516
nome,567,367,47.53866458
fighter,624,399,47.53705686
tuve,430,285,47.53592829
fora,353,235,47.53558665
fuera,1239,685,47.53553584
muerto,700,440,47.53306561
pobr,866,523,47.53152351
anchor,616,395,47.52940551
seventh,518,339,47.52919595
jade,688,434,47.52766549
pal,669,424,47.525976
piensa,728,455,47.5255478
mie,789,486,47.52393997
bene,966,570,47.5236534
witch,1153,651,47.52362665
coraÌ¤Ì£o,678,429,47.52243875
ihm,628,402,47.52216324
odio,474,313,47.51940831
vera,670,425,47.51776072
starri,482,318,47.51656424
nube,505,332,47.51350861
dreamin,1410,753,47.512875
suo,598,386,47.51004646
michael,1244,690,47.50015099
caminar,527,346,47.49351861
cherish,791,489,47.49247073
mim,1478,780,47.49244836
american,2481,1093,47.49190401
sigo,1183,666,47.49164101
cadillac,1290,709,47.49111688
haga,722,454,47.49046348
trÌ¬s,643,412,47.48943717
caminho,317,212,47.48927913
mutta,317,212,47.48927913
bewar,1455,772,47.48787611
sooner,1020,597,47.48557081
tuoi,794,491,47.48459124
lullabi,953,567,47.48334799
dancin,2094,984,47.48332975
altro,452,301,47.48264186
digo,1604,826,47.48169837
revolut,2622,1132,47.47992664
lumiÌ¬r,574,374,47.47923496
oooh,4496,1541,47.47821154
punto,553,362,47.47729558
loco,1951,941,47.47679443
juli,1214,680,47.47553434
mer,1209,678,47.47515785
bean,722,455,47.47381015
croi,829,509,47.47361203
batter,745,467,47.472016
parl,841,515,47.47140677
northern,680,433,47.47132557
meaningless,448,299,47.47078016
seel,515,340,47.46988843
voll,596,387,47.46946596
24,676,431,47.46889594
musiqu,676,431,47.46889594
sait,729,459,47.46779654
habla,480,319,47.46660401
emerg,1041,608,47.46274514
cambiar,951,568,47.4568562
gasolin,680,434,47.45400177
sient,1149,655,47.45396994
sweetheart,1090,630,47.4536901
shorti,1724,870,47.45306092
cotton,770,481,47.45206588
seventeen,873,532,47.44841591
deinen,1054,615,47.44587619
independ,736,464,47.44524729
volt,802,498,47.43790142
histoir,792,493,47.43787572
perro,524,347,47.43535821
railroad,626,406,47.4282842
missin,1151,658,47.42753488
mÌ¼sica,434,292,47.42660237
fur,557,367,47.42365647
guarda,682,437,47.42074587
dedo,443,298,47.41972367
unseen,896,545,47.41911386
rescu,1800,899,47.41754585
glorious,1015,600,47.41655096
vite,663,427,47.41625562
kommt,1608,834,47.41527742
senti,628,408,47.41206542
spotlight,675,434,47.4075212
counti,806,502,47.40714265
Ì©,8229,2110,47.40356219
sil,632,411,47.39795134
mag,641,416,47.39766025
princess,948,571,47.39651437
farewel,1093,636,47.39438326
modo,551,365,47.3935615
pa,6551,1890,47.39309476
dejar,747,473,47.39165458
ive,1263,707,47.39108625
medicin,1092,636,47.38896389
phantom,673,434,47.38883264
hecho,846,523,47.38866472
dabei,640,416,47.38776209
aprÌ¬,714,456,47.38756237
raison,613,401,47.38653025
vraiment,706,452,47.38363823
homm,1234,696,47.38292621
oer,411,279,47.38184115
ritual,632,412,47.37987698
liegt,657,426,47.37638301
squad,824,513,47.37619697
nei,749,475,47.37617914
blut,575,380,47.37356251
azul,912,556,47.37077334
medic,684,441,47.37068926
ami,1329,735,47.3700884
daze,695,447,47.36914105
western,638,416,47.36791936
vient,748,475,47.36788389
creo,1056,622,47.36727119
tribe,650,423,47.36148273
ancora,1864,926,47.36095457
tambien,596,393,47.35592822
harvest,675,437,47.3558394
oughta,813,509,47.35393339
pluie,420,286,47.35336473
damnat,448,304,47.35306571
herz,1397,763,47.35118165
majesti,554,369,47.34903628
juego,865,535,47.34872442
pueden,454,308,47.34855457
septemb,590,390,47.34768897
infin,611,402,47.3472525
contigo,2854,1209,47.34695332
keinen,663,431,47.34646703
joue,618,406,47.34643449
idiot,836,521,47.34551659
schwer,581,385,47.34415881
depoi,455,309,47.34009589
cantar,1327,737,47.33919677
dieser,1060,626,47.33880201
busca,803,505,47.33847232
ilusiÌ_n,565,376,47.33830899
graviti,880,543,47.33822414
passo,405,277,47.33318515
deseo,1123,654,47.33134964
fo,1381,759,47.32818422
acaba,588,390,47.32594624
atom,623,410,47.32493452
questo,1659,861,47.32462247
negro,1110,649,47.32406279
quanto,823,516,47.32386589
fascin,666,434,47.32298313
tres,871,540,47.31870839
raven,568,379,47.31413942
flavor,868,539,47.31208752
flor,954,580,47.31189001
mike,1518,812,47.31152792
angst,901,555,47.31133275
rabbit,672,438,47.31067817
ves,1646,858,47.30964182
sido,799,505,47.30776817
kalt,527,355,47.30713025
jungl,1685,872,47.30539761
prima,898,554,47.30517368
razon,675,440,47.30451182
dizzi,729,469,47.30446587
ano,423,290,47.30331197
conmigo,2169,1028,47.29826135
aquello,435,298,47.29821551
hiphop,1343,747,47.29819293
veut,782,497,47.29765021
haben,1608,846,47.29593478
sulla,685,446,47.29512156
evolut,531,358,47.29510463
gern,829,521,47.2940762
vi,5168,1692,47.29406088
mare,1497,806,47.29385649
adam,681,444,47.29215258
contr,692,450,47.29167569
dass,3235,1309,47.29117463
pari,1822,920,47.28959663
hum,1620,851,47.28858513
heur,744,478,47.28675437
dÌ_as,818,516,47.28652757
selbst,814,514,47.28634307
ala,854,534,47.28523257
flore,790,502,47.28374198
questa,1582,838,47.28324347
enfant,1023,614,47.28101054
ben,1712,884,47.27953716
iba,538,363,47.27911352
morgen,1152,671,47.27559225
tot,787,501,47.27558762
misti,508,345,47.27497563
dort,659,433,47.27369057
girlfriend,2461,1115,47.27359314
cuento,597,398,47.27333292
primavera,534,361,47.2709749
stomp,897,556,47.27038165
dulc,864,540,47.2696291
vide,493,336,47.26956636
espero,872,544,47.26846033
jumpin,962,587,47.26790914
pasiÌ_n,569,382,47.26762887
asi,2244,1054,47.26659605
strung,598,399,47.26548931
alguna,837,527,47.26450075
mucha,799,508,47.26234887
memoria,502,342,47.260438
sagt,1135,665,47.26033156
mari,4584,1594,47.25917447
carn,451,310,47.25858093
olhar,451,310,47.25858093
jeder,1321,742,47.25784435
amanec,846,532,47.25686815
disagre,625,415,47.25528108
licht,1120,659,47.25465741
soleil,1131,664,47.25163831
giÌÊ,938,577,47.25079362
tar,819,519,47.2494188
pedir,397,275,47.24930584
rumbl,642,425,47.24802056
ciudad,1177,684,47.24712226
vill,2517,1134,47.24577787
hurrican,1030,620,47.24462586
dor,920,569,47.24320714
favourit,636,422,47.241421
volver,1851,935,47.23999615
hin,599,401,47.23922782
klar,725,471,47.2380114
stell,655,433,47.23533369
parasit,561,379,47.23438838
modern,1497,812,47.23241971
lleva,916,568,47.23065483
puro,429,297,47.22932637
cerca,1076,642,47.22682581
coal,930,575,47.22640149
fatto,608,407,47.22441967
muert,890,556,47.22295691
reckless,594,399,47.22266623
bump,1806,922,47.22221363
holler,991,604,47.2211382
avant,1193,693,47.22070837
fuert,833,528,47.22063447
despertar,734,477,47.21870467
senza,2361,1094,47.21698931
io,5274,1724,47.21654737
13,602,404,47.21600335
grito,546,371,47.2156834
hypocrit,595,400,47.21493124
ruido,287,199,47.21465028
symphoni,737,479,47.21226077
ormai,544,370,47.21168042
heut,1887,950,47.21125705
respirar,640,426,47.21079811
perdida,440,305,47.21002965
chocol,917,570,47.2098078
terrifi,574,388,47.20939776
insect,408,284,47.2080879
uma,2332,1087,47.20639899
jÌÁ,1616,858,47.2061903
puppet,699,459,47.20545802
pens,1114,661,47.19881833
ihn,1033,625,47.19829997
falta,1569,842,47.19697969
croir,642,428,47.19559757
despierto,353,247,47.19382277
dautr,586,396,47.19171746
halt,1133,670,47.18995966
weil,2123,1027,47.18993475
fuego,1475,808,47.18918019
etwa,615,413,47.1887899
jeden,922,574,47.1879835
100,657,437,47.18580036
fallin,2560,1154,47.18241544
suert,961,593,47.1818427
himmel,806,517,47.18111453
pra,4009,1495,47.17991812
fever,2599,1165,47.17933144
re,4696,1629,47.17614612
southern,1159,683,47.16874213
rattl,704,464,47.16822336
chaqu,1124,668,47.16707881
wort,806,518,47.1662805
oper,1045,633,47.16599739
david,1248,721,47.1626589
morir,1510,824,47.15987614
idol,757,493,47.15890396
unholi,633,425,47.15881826
shark,654,437,47.15700895
tin,710,468,47.15628744
nueva,603,408,47.15375537
peur,1380,775,47.15287469
vu,1357,766,47.1522909
quella,547,375,47.14926028
atÌ©,680,452,47.14883067
capit,527,363,47.14538243
galaxi,540,371,47.14438898
toni,694,460,47.14425835
chapter,621,419,47.14338768
materi,755,493,47.1425759
alguien,1126,671,47.1416487
gris,633,426,47.14133593
comment,1128,672,47.14013795
spider,697,462,47.13849193
piÌ_,4319,1564,47.13770248
cuor,1316,751,47.13762097
allein,1796,928,47.13649954
sie,9375,2304,47.13637417
aÌ¼n,756,494,47.13531765
legion,531,366,47.13453286
rubber,1061,643,47.1314731
cow,905,570,47.13039398
goddamn,1224,714,47.12899696
cafe,604,410,47.12814219
sum,658,441,47.12724109
kopf,755,494,47.1271509
rue,1331,758,47.12707263
ladder,703,466,47.12692621
maid,575,393,47.12651685
esperar,826,531,47.12549065
secreto,498,346,47.12443314
aquella,553,380,47.12276855
sagen,1068,647,47.12101355
romant,704,467,47.11960822
tÌ¼,5825,1833,47.11825352
burnin,2015,1002,47.11685431
stride,609,414,47.10867116
quÌ©,3312,1354,47.10757268
porta,633,428,47.10649425
ny,1056,643,47.10355817
sua,1954,984,47.10354608
ander,1286,742,47.10296113
voix,693,462,47.10260113
bon,2034,1010,47.09994789
feu,648,437,47.0990284
oblivion,569,391,47.09684912
premier,669,449,47.09667658
turnin,1287,743,47.09648771
whoa,9265,2301,47.09462377
magia,385,273,47.09297366
nie,3696,1443,47.09171024
olvidar,1481,820,47.09029284
padr,688,460,47.09007322
flyin,980,609,47.08961603
recordar,432,305,47.08811182
declar,813,527,47.08685282
dell,884,563,47.08483032
method,605,413,47.08474677
savoir,610,416,47.08340662
bas,853,548,47.07798491
shinin,843,543,47.07719886
crimin,1244,727,47.07690528
cafÌ©,599,410,47.07532718
papel,597,409,47.07210196
etc,494,346,47.07184838
reaction,1212,714,47.07179497
buscar,702,469,47.06967286
realidad,776,509,47.06791455
50,1239,726,47.0647412
visto,747,494,47.06142532
radiat,501,351,47.06017897
judgment,606,415,47.05950022
wonderin,815,530,47.05821883
placer,554,384,47.05786655
union,670,452,47.0561245
background,875,561,47.05061861
haus,863,555,47.05041498
gana,1363,778,47.05026604
moin,889,568,47.05017709
coraz,142,89,47.0488883
contact,796,521,47.04557688
mainten,732,487,47.04447148
handsom,613,420,47.04362649
hizo,596,410,47.04342651
meinen,1132,682,47.04258708
ventana,645,439,47.03578626
creator,485,342,47.0354028
eagl,1249,733,47.03349764
mentr,650,442,47.03349098
outer,624,427,47.03348399
sir,1540,848,47.03269787
fuerza,800,524,47.03220784
llena,821,535,47.03071659
blossom,588,406,47.02978204
weiÌÙ,1983,1002,47.02928351
nella,987,617,47.02927997
mieux,989,618,47.02856846
bonheur,683,461,47.02824153
r,2344,1113,47.02795089
aura,566,393,47.02562582
joe,2312,1104,47.02487074
chicago,746,496,47.02245218
gibt,1859,962,47.02206519
foto,498,351,47.02110217
palac,602,415,47.0175029
via,1757,928,47.01473413
golp,311,223,47.01471901
unspoken,485,343,47.01445135
buddi,1252,736,47.01424648
spiral,634,434,47.01288027
canciÌ_n,1142,689,47.01217037
pueda,1044,645,47.01139168
cancion,897,575,47.00890442
infierno,483,342,47.00841212
nen,855,554,47.00797227
della,1421,805,47.0078223
sono,3855,1491,47.00582425
alto,700,472,47.00386236
mirando,431,308,47.00361726
trumpet,564,393,47.00298818
sow,823,538,47.00249794
tooth,666,453,47.00210535
motivo,419,300,47.00133044
einer,936,595,46.99762305
corn,743,496,46.99760662
nasti,1496,835,46.99728275
tumbl,1509,840,46.99667964
agua,1217,723,46.9944787
reborn,726,487,46.99357486
teen,598,414,46.99303641
frÌ_o,474,337,46.99090687
skinni,642,440,46.98952353
cualquier,553,387,46.98942029
geht,2413,1138,46.98932171
author,783,518,46.98901038
arena,684,464,46.98862332
entertain,1294,756,46.98656578
encuentro,930,593,46.98544588
captiv,687,466,46.98355488
digit,619,427,46.98269162
mister,1790,943,46.98233138
blanco,506,358,46.98226384
overflow,525,370,46.98221379
hab,3712,1464,46.98138226
st,1359,783,46.98099612
farm,1015,634,46.98093672
butcher,547,384,46.97625705
tue,742,497,46.97400576
tick,2003,1015,46.97375119
problema,618,427,46.97248401
isol,675,460,46.97103511
decemb,903,581,46.96819378
Ì»tre,1209,722,46.9674443
casi,664,454,46.96678659
timeless,457,327,46.96620734
buena,970,614,46.96420109
tuo,1425,811,46.96266013
uniti,549,386,46.96176767
temperatur,615,426,46.95913579
jerk,1054,654,46.95767819
er,8916,2292,46.95539629
llorar,1446,820,46.95471379
cocain,1036,646,46.95368418
idl,482,344,46.95306915
franc,1066,660,46.95177958
buscando,1042,649,46.95105013
satisfact,1042,649,46.95105013
duda,519,368,46.947281
dÌ»tre,683,466,46.94719106
despuÌ©,969,615,46.94527272
shepherd,575,403,46.9419893
forsak,478,342,46.9404444
caricia,625,433,46.93997459
dreamt,578,405,46.93875898
vibe,1525,852,46.93847422
gore,402,291,46.93840436
seit,767,513,46.9365772
correr,467,335,46.93600514
arrow,1074,665,46.93570976
notr,1235,736,46.93528347
fuse,741,499,46.93519738
knight,694,473,46.93442967
col,664,456,46.93388343
empieza,393,285,46.93210355
larm,641,443,46.92909977
pourtant,602,420,46.92901158
importa,1755,937,46.92698039
brake,782,522,46.92236671
tua,1779,946,46.92139872
resto,635,440,46.9206319
vino,774,518,46.91822414
tempt,1141,697,46.91450208
escucha,496,355,46.91335676
tÌ»te,1127,691,46.91173714
silhouett,617,430,46.91035917
unter,651,450,46.90922084
vento,988,627,46.90867775
manipul,491,352,46.90855254
erst,816,541,46.907764
hound,782,523,46.9077326
robin,554,392,46.90720061
sÌ_,2255,1102,46.90645577
voit,522,372,46.90615183
driver,1137,696,46.90553471
nickel,642,445,46.9053162
pensamiento,432,313,46.90527812
whiskey,1642,899,46.90509939
honesti,728,494,46.90246629
algÌ¼n,678,466,46.90143606
tutto,2155,1072,46.90098184
allen,581,409,46.89943758
autr,1218,732,46.89926417
esquina,512,366,46.89896107
meiner,830,549,46.89809181
pude,515,368,46.89730338
invis,1310,771,46.89704955
redeem,749,506,46.89541579
object,786,526,46.89515985
resurrect,801,534,46.89484711
entend,902,586,46.89481123
impos,587,413,46.89306712
fa,2669,1223,46.89098747
fiel,488,351,46.88912814
herida,923,597,46.8876948
chime,552,392,46.88406343
jen,1196,724,46.88249284
graveyard,643,447,46.88165429
contar,492,354,46.88104823
sleepless,674,465,46.88070058
doigt,542,386,46.87947792
escond,469,339,46.879225
intox,504,362,46.87642149
mira,2069,1048,46.87558864
risa,540,385,46.8746604
vote,741,503,46.87457157
che,22351,3420,46.87289505
hacen,590,416,46.87208368
prendr,613,430,46.86934196
calma,733,499,46.8683339
dich,9845,2420,46.86776153
razÌ_n,1044,657,46.86521149
lipstick,655,455,46.86501357
rockin,3275,1382,46.86438626
estaba,1012,642,46.86434913
pet,667,462,46.86414407
keepin,1176,717,46.86299271
dies,1471,839,46.86255223
id,716,490,46.86138119
complex,584,413,46.86055097
unwind,750,509,46.85865914
dimens,726,496,46.85489471
klein,985,630,46.85305204
chat,699,481,46.85263625
sola,1814,966,46.85188762
monday,1837,974,46.85131276
shotgun,837,556,46.85130874
ember,467,339,46.851276
wail,633,443,46.85026617
pledg,511,368,46.84693683
escuchar,465,338,46.84428273
pecho,539,386,46.84388564
dei,1356,795,46.84386516
trippin,1120,694,46.84071079
mio,3100,1343,46.83877529
twin,666,463,46.83859755
conoc,457,333,46.83680401
eve,1177,720,46.83432372
asshol,720,494,46.83429296
dalla,804,540,46.83188582
nuclear,636,446,46.82971158
paul,1187,725,46.82762412
facil,851,565,46.8276026
restor,491,356,46.82733391
axe,617,435,46.82465881
wolv,764,519,46.82389965
guardo,550,394,46.82369393
thumb,862,571,46.82335647
beau,1279,765,46.82333354
cosmic,483,351,46.82212555
suelo,610,431,46.82121007
40,957,619,46.82023046
pawn,747,510,46.81913076
medio,548,393,46.81894831
sublim,529,381,46.81847105
bike,802,540,46.81673828
sangr,1133,702,46.81622942
dial,928,605,46.81599702
spi,815,547,46.81552648
seren,535,385,46.81498514
sombra,991,636,46.8143809
sehr,653,457,46.81314053
untru,703,486,46.81000244
termin,818,549,46.80975842
uniform,639,449,46.80929186
amar,2326,1136,46.8084047
diferent,491,357,46.80717205
sul,873,578,46.8052924
predict,640,450,46.80251488
crucifi,853,568,46.80083051
tant,1707,934,46.80041053
peter,882,583,46.8001043
flirt,611,433,46.79726153
suprem,712,492,46.79600327
vive,1369,805,46.79580675
lejo,1474,847,46.79560071
paralyz,646,454,46.79494122
quiera,1755,952,46.79298185
noir,1008,646,46.79190032
ecstasi,1126,701,46.79155436
lion,1805,970,46.78952296
minor,555,399,46.78937871
whirl,508,369,46.78930666
cabeza,997,641,46.78837292
glitter,690,480,46.78799996
sentimiento,783,532,46.78506452
loin,1386,813,46.78483495
miser,545,393,46.7838444
chemin,608,432,46.78336166
gambl,739,508,46.78286524
aris,1284,771,46.7821859
monster,1996,1036,46.77929865
deepli,498,363,46.77900243
desol,501,365,46.77827595
seguir,1234,750,46.77809784
redempt,760,520,46.77710507
sweetest,1379,811,46.77629119
frank,666,467,46.77418305
losin,951,620,46.7701763
shakin,1387,815,46.76876369
vieux,613,436,46.76670982
espejo,433,320,46.76434865
reli,869,579,46.76427489
dart,838,563,46.76202308
revolv,769,526,46.76161087
bueno,1118,700,46.76144499
proclaim,427,316,46.76098244
circus,778,531,46.76038618
denial,738,509,46.75962404
nuestra,1113,698,46.75820205
chant,1557,883,46.75803511
darlin,3390,1426,46.75774399
element,513,374,46.75522419
dÌ©jÌÊ,709,493,46.75460717
grate,669,470,46.75418243
veo,1443,839,46.75404567
conceiv,519,378,46.75310146
cari,160,109,46.75210613
spiritu,782,534,46.74858318
forsaken,689,482,46.74773672
aujourdhui,626,445,46.7470111
atrÌÁ,847,569,46.74466575
headlight,532,387,46.74126071
dein,6030,1940,46.74050803
nombr,1138,711,46.73977631
maker,1079,684,46.73870275
sem,1987,1038,46.73822279
accid,657,464,46.73766157
illumin,510,373,46.73677742
meu,3512,1458,46.73663334
defi,737,510,46.73640626
reput,615,439,46.7363978
lil,2927,1314,46.7363153
ii,949,622,46.73242333
reel,901,598,46.73034047
french,738,511,46.72986317
filthi,774,531,46.728952
ridin,1903,1011,46.72787656
bord,601,431,46.7275088
swept,794,542,46.72744721
madrugada,482,355,46.72740183
hast,2576,1220,46.72562197
trunk,1122,705,46.72530899
anyhow,521,381,46.72056183
hardcor,953,625,46.71969306
gar,1212,746,46.71771965
apathi,587,423,46.71689182
sinn,682,480,46.71572158
workin,2076,1070,46.71524147
depui,796,544,46.71451173
choir,1030,663,46.71375253
blond,1048,672,46.70863657
forbidden,497,366,46.70673598
esperanza,707,495,46.70661997
attend,817,556,46.70492063
soir,1576,896,46.70412712
safeti,789,541,46.70318793
zur,703,493,46.70215847
han,3403,1438,46.70126924
llega,774,533,46.70024607
tunnel,837,567,46.70020728
slut,715,500,46.70005636
ascend,474,351,46.69975773
elev,865,582,46.69650837
candi,2320,1149,46.69551288
gesicht,799,547,46.69519671
pue,1559,891,46.69016546
anytim,1471,857,46.68711169
llevo,916,609,46.6868942
swirl,479,355,46.68685354
queda,1640,922,46.68683185
esperando,783,539,46.68509998
obscen,568,413,46.68426533
ciel,1173,732,46.6816326
summon,566,412,46.67964586
prime,806,552,46.67829248
aÌ±o,1070,685,46.67809968
wretch,593,429,46.67733078
billion,564,411,46.67497343
noos,545,399,46.67338059
venir,559,408,46.67201668
sorriso,460,343,46.66894782
mujer,2668,1254,46.66764781
martyr,663,472,46.66638252
16,680,482,46.66629984
agoni,1102,701,46.66608135
viejo,797,548,46.66598755
cruis,1141,719,46.66537689
intern,795,547,46.66473823
gleich,595,431,46.66425978
pasa,1652,929,46.66394737
tener,1123,711,46.66268831
standard,616,444,46.66267838
oft,527,388,46.66200584
pensando,918,612,46.66155407
lamp,634,455,46.66133236
mutil,391,295,46.65774859
jame,1310,794,46.65742938
panic,1179,737,46.656339
occhi,1263,774,46.65618465
thang,2549,1222,46.65562813
tierra,1475,862,46.65429333
perdido,1198,746,46.65077181
wieder,2782,1288,46.64956234
genocid,460,344,46.64821097
verso,730,512,46.64816942
bald,702,496,46.64763228
explos,728,511,46.64615094
legal,585,426,46.64329867
weird,846,576,46.64311026
thiev,642,461,46.64208557
thee,2756,1282,46.64197061
espera,956,633,46.63860001
valor,522,386,46.63838433
cristal,542,399,46.63816662
tristeza,786,544,46.63771851
anch,1652,932,46.63693753
lifeless,594,432,46.63656445
pardon,864,586,46.63651985
partir,864,586,46.63651985
passÌ©,673,480,46.63338945
leur,2733,1277,46.63282077
pronto,957,634,46.63241214
repres,1522,883,46.63082122
vita,2120,1095,46.62950958
caso,503,374,46.62838472
dip,1443,852,46.62725915
sunni,1686,946,46.62463233
paz,1199,749,46.62321288
english,902,607,46.62066752
ao,1581,907,46.62010307
cansado,386,293,46.61910915
encontrar,1123,715,46.61780378
spawn,429,324,46.61549814
vaniti,554,408,46.61489474
weg,2211,1126,46.61392156
factori,899,606,46.61362376
sober,838,574,46.61276362
privat,1349,815,46.61112324
fountain,722,510,46.61019366
legend,830,570,46.60888113
ident,541,400,46.60815502
breakin,1694,951,46.6065054
guerra,933,624,46.60628749
einen,1467,864,46.60458726
fiction,744,523,46.60321115
ci,3650,1512,46.60053164
venom,636,460,46.59967962
augen,1225,763,46.5970035
taxi,786,547,46.59564324
singer,959,638,46.59543188
upsid,1405,840,46.59358134
stitch,699,498,46.59090506
itch,588,431,46.58965948
acid,728,515,46.5870838
souvenir,728,515,46.5870838
pimp,1814,997,46.58438201
indiffer,444,336,46.58399706
delus,470,354,46.58382335
flown,510,381,46.58345794
captain,1471,868,46.5817094
static,843,579,46.5816318
vine,843,579,46.5816318
shave,548,406,46.58151594
ayer,1349,818,46.58106898
seiz,674,484,46.58035469
pein,835,575,46.57774902
ont,1637,933,46.57741438
mÌ_,2846,1316,46.57680004
sleepin,924,622,46.57379317
vert,1692,954,46.57352371
enslav,555,411,46.5728202
fondo,945,633,46.57003515
dyin,1015,668,46.56814301
assassin,578,426,46.56727768
pig,1435,855,46.56699254
labio,1091,705,46.5622966
mystic,694,497,46.56180675
consol,534,398,46.56154658
devant,838,578,46.55919732
bajo,1007,665,46.55721338
vengeanc,845,582,46.5559744
bull,978,651,46.55286009
aussi,1087,704,46.55223724
gentlemen,710,507,46.55186963
unto,1162,739,46.55070317
extrem,822,570,46.55049747
velvet,831,575,46.54884416
luce,769,541,46.54709068
neat,584,431,46.54663166
sheep,1403,844,46.54650015
fore,853,587,46.54644948
drivin,1333,815,46.54341645
finest,781,548,46.54295281
skirt,860,591,46.5429222
horizont,444,338,46.54193151
careless,653,474,46.54036225
miracl,2611,1256,46.54025966
cradl,1012,669,46.53894844
jar,752,532,46.53879805
dal,837,579,46.53868463
Ì¤a,5992,1975,46.53807164
hospit,736,523,46.53712444
combat,610,448,46.53488542
thief,975,651,46.53474397
greater,997,662,46.53421892
terr,1531,897,46.53319505
devast,509,383,46.53303214
j,2603,1255,46.53118458
judgement,737,524,46.53093112
eager,539,403,46.5301456
parec,1091,708,46.52844488
wooden,576,427,46.52816775
peau,619,454,46.52799436
mistaken,537,402,46.52454293
chord,683,493,46.52404333
propheci,638,466,46.52278394
determin,671,486,46.52183705
behav,583,432,46.51877996
duti,583,432,46.51877996
rude,1035,682,46.51842488
mate,1039,684,46.51778896
sentido,737,525,46.51646553
uncl,1192,756,46.51453159
mont,721,516,46.51319795
steht,852,589,46.51312122
hardest,1073,701,46.51077384
hustl,1325,815,46.50925791
motor,1019,675,46.50882774
Ì_ber,1201,761,46.504604
evid,1014,673,46.50344141
knive,669,486,46.50337373
deja,1955,1056,46.50313805
collar,679,492,46.50303761
miedo,1943,1052,46.50216882
